content,start,end,group,style
Ptolemaios I.,-000305-02-01,-000282-01-01,1,background-color: #f1d9a4; border-color: black;
Ptolemaios II.,-000285-02-01,-000246-01-01,1,background-color: #ceaf7a; border-color: black;
Ptolemaios III.,-000246-02-01,-000222-01-01,1,background-color: #ca9865; border-color: black;
Ptolemaios IV.,-000222-02-01,-000204-01-01,1,background-color: #f1d9a4; border-color: black;
Ptolemaios V.,-000204-02-01,-000180-01-01,1,background-color: #ceaf7a; border-color: black;
Ptolemaios VI.,-000180-02-01,-000145-01-01,1,background-color: #ca9865; border-color: black;
Ptolemaios VIII.,-000170-02-01,-000163-01-01,1,background-color: #f1d9a4; border-color: black;
Ptolemaios VIII.,-000145-02-01,-000116-01-01,1,background-color: #ca9865; border-color: black;
Ptolemaios IX.,-000116-02-01,-000107-01-01,1,background-color: #ceaf7a; border-color: black;
Ptolemaios X.,-000107-02-01,-000088-01-01,1,background-color: #ca9865; border-color: black;
Ptolemaios IX.,-000088-02-01,-000080-01-01,1,background-color: #f1d9a4; border-color: black;
Ptolemaios XI.,-000080-02-01,-000080-12-31,1,background-color: #ceaf7a; border-color: black;
Ptolemaios XII.,-000080-02-01,-000058-01-01,1,background-color: #ca9865; border-color: black;
Ptolemaios XIII.,-000051-02-01,-000047-01-01,1,background-color: #f1d9a4; border-color: black;
Ptolemaios XIV.,-000047-02-01,-000044-01-01,1,background-color: #ceaf7a; border-color: black;
Caesarion,-000044-02-01,-000030-01-01,1,background-color: #ca9865; border-color: black;
Berenike I.,-000305-02-01,-000282-01-01,2,background-color: #f1d9a4; border-color: black;
Arsinoe I.,-000285-02-01,-000275-01-01,2,background-color: #ceaf7a; border-color: black;
Arsinoe II.,-000275-02-01,-000268-01-01,2,background-color: #ca9865; border-color: black;
Berenike II.,-000246-02-01,-000222-01-01,2,background-color: #f1d9a4; border-color: black;
Arsinoe III.,-000222-02-01,-000204-01-01,2,background-color: #ceaf7a; border-color: black;
Kleopatra I.,-000194-02-01,-000177-01-01,2,background-color: #ca9865; border-color: black;
Kleopatra II.,-000175-02-01,-000107-01-01,2,background-color: #f1d9a4; border-color: black;
Kleopatra III.,-000140-02-01,-000101-01-01,2,background-color: #ceaf7a; border-color: black;
Berenike III.,-000101-02-01,-000080-01-01,2,background-color: #ca9865; border-color: black;
Kleopatra V.,-000079-02-01,-000069-01-01,2,background-color: #f1d9a4; border-color: black;
Berenike IV.,-000058-02-01,-000055-01-01,2,background-color: #ceaf7a; border-color: black;
Kleopatra VII.,-000052-02-01,-000030-01-01,2,background-color: #ca9865; border-color: black;
Arsinoe IV.,-000048-02-01,-000047-01-01,2,background-color: #f1d9a4; border-color: black;
